product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Work Out Wipes for Women,Aloe Vera / 2,WOW-AV10-2,649,12165.510,-4605.880,-19.950,7539.680,16.380,7556.060
Workout Wipes for Women,Aloe Vera / 2,WOW-AV10-2,399,7325.640,-1211.180,-103.740,6010.720,19.460,6030.180
Work Out Wipes for Women,Aloe Vera / 4,WOW-AV10-4,88,3334.730,-1296.620,-34.950,2003.160,3.830,2006.990
Work Out Wipes for Women,Unscented / 2,WOW-UN10-2,160,3028.410,-1195.200,-19.950,1813.260,2.070,1815.330
Workout Wipes for Women,Aloe Vera / 24,WOW-AV10-24,12,1424.410,-118.690,0.000,1305.720,15.690,1321.410
Workout Wipes for Women,Aloe Vera / 4,WOW-AV10-4,45,1669.900,-460.140,-39.950,1169.810,0.000,1169.810
Workout Wipes for Women,Unscented / 2,WOW-UN10-2,71,1336.650,-231.090,-19.950,1085.610,2.660,1088.270
Work Out Wipes for Women,Aloe Vera / 6,WOW-AV10-6,29,1528.650,-568.950,0.000,959.700,2.000,961.700
Work Out Wipes for Women,Aloe Vera / 24,WOW-AV10-24,10,1174.510,-587.210,0.000,587.300,4.380,591.680
Workout Wipes for Women,Aloe Vera / 6,WOW-AV10-6,13,702.390,-121.080,0.000,581.310,0.000,581.310
Workout Wipes for Women,Unscented / 24,WOW-UN10-24,3,499.800,-18.740,-124.950,356.110,8.440,364.550
Work Out Wipes for Women,Unscented / 4,WOW-UN10-4,17,653.170,-293.070,0.000,360.100,1.350,361.450
Workout Wipes for Women,Unscented / 6,WOW-UN10-6,7,467.610,-89.910,-47.960,329.740,0.000,329.740
Workout Wipes for Women,Unscented / 4,WOW-UN10-4,9,359.550,-45.930,0.000,313.620,2.700,316.320
Work Out Wipes for Women,Unscented / 6,WOW-UN10-6,10,577.510,-297.220,0.000,280.290,0.000,280.290
Work Out Wipes for Women,Unscented / 24,WOW-UN10-24,3,449.810,-174.920,-99.950,174.940,0.000,174.940
Work Out Wipes for Women,Aloe Vera / 2,WOWAV2,9,219.450,-49.850,-39.900,129.700,1.450,131.150
Work Out Wipes for Women,Aloe Vera / 4,WOWAV4,4,189.750,-56.920,-37.950,94.880,0.000,94.880
Work Out Wipes for Women - Unscented 2 Pack,,WOW2US4W,5,99.750,-39.900,0.000,59.850,1.450,61.300
Work Out Wipes for Women,Unscented / 24,WOWUS24,1,99.950,-49.970,0.000,49.980,0.000,49.980
Work Out Wipes for Women,Aloe Vera / 6,WOWAV6,1,54.950,-27.470,0.000,27.480,0.000,27.480
Work Out Wipes for Women - Single Pack,Aloe Vera,WOW-AV10-1,83,1100.750,-1087.790,0.000,12.960,0.000,12.960
Work Out Wipes for Women,Unscented / 2,WOWUS2,1,19.950,-9.970,0.000,9.980,0.000,9.980
Work Out Wipes for Women - Single Pack,Unscented,WOW-UN10-1,4,51.800,-51.800,0.000,0.000,0.000,0.000
Work Out Wipes for Women - Single Pack,Aloe Vera,WOW-ALO10-1,0,12.950,-12.950,0.000,0.000,0.000,0.000
Work Out Wipes for Women,Aloe Vera / 24,WOWAV24,0,99.950,0.000,-99.950,0.000,0.000,0.000
Work Out Wipes for Women - Aloe Vera 2 Pack,,WOW2AV4W,1,19.950,-19.950,0.000,0.000,0.000,0.000
Work Out Wipes for Women,Aloe Vera / 2,,0,19.950,-19.950,0.000,0.000,0.000,0.000
